price,kilometer,engine,max_power,max_torque,length,width,height,seating_capacity,fuel_tank_capacity,car_age,fuel_type_CNG + CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_Hybrid,fuel_type_LPG,fuel_type_Petrol,fuel_type_Petrol + CNG,fuel_type_Petrol + LPG,transmission_Manual,owner_First,owner_Fourth,owner_Second,owner_Third,owner_UnRegistered Car,seller_type_Corporate,seller_type_Individual,drivetrain_FWD,drivetrain_RWD
505000,87150,1198.0,87.0,109.0,3990.0,1680.0,1505.0,5.0,35.0,8,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
450000,75000,1248.0,74.0,190.0,3995.0,1695.0,1555.0,5.0,42.0,11,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
220000,67000,1197.0,79.0,112.7619,3585.0,1595.0,1550.0,5.0,35.0,14,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
799000,37500,1197.0,82.0,113.0,3995.0,1745.0,1510.0,5.0,37.0,6,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
1950000,69000,2393.0,148.0,343.0,4735.0,1830.0,1795.0,7.0,55.0,7,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True
675000,73315,1373.0,91.0,130.0,4490.0,1730.0,1485.0,5.0,43.0,8,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
2650000,75000,1995.0,188.0,400.0,4439.0,1821.0,1612.0,5.0,51.0,8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1390000,56000,1798.0,177.0,250.0,4670.0,1814.0,1476.0,5.0,50.0,8,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
575000,85000,1461.0,84.0,200.0,4331.0,1822.0,1671.0,5.0,50.0,10,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False
591000,20281,1197.0,82.0,115.0,3985.0,1734.0,1505.0,5.0,45.0,8,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
459999,22541,999.0,67.0,91.0,3679.0,1579.0,1478.0,5.0,28.0,7,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
1075000,30672,1462.0,103.0,138.0,4490.0,1730.0,1485.0,5.0,43.0,6,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
1695000,20856,1956.0,138.0,350.0,4598.0,1894.0,1706.0,5.0,50.0,6,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False
944999,41417,1197.0,103.0,175.0,3971.0,1682.0,1469.0,5.0,45.0,8,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
569000,11471,998.0,67.0,90.0,3695.0,1600.0,1560.0,5.0,35.0,9,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
449000,3583,796.0,47.0,69.0,3445.0,1515.0,1475.0,5.0,35.0,6,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
894999,21365,1197.0,82.0,113.0,3995.0,1745.0,1510.0,5.0,37.0,7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
699000,30777,1197.0,82.0,113.0,3655.0,1620.0,1675.0,5.0,32.0,5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
740000,60125,1591.0,122.0,154.0,4270.0,1780.0,1630.0,5.0,60.0,9,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
470000,2169,998.0,67.0,90.0,3565.0,1520.0,1564.0,5.0,27.0,5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
765000,60240,1197.0,103.0,153.0,4384.0,1699.0,1466.0,5.0,55.0,10,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
589000,13772,1086.0,68.0,99.0,3610.0,1645.0,1560.0,5.0,35.0,7,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
999000,27464,998.0,118.0,172.0,3995.0,1770.0,1605.0,5.0,45.0,6,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
